@relation australian
@attribute A1{0,1}
@attribute A2 real[16.0,8025.0]
@attribute A3 real[0.0,26335.0]
@attribute A4{1,2,3}
@attribute A5 integer[1,14]
@attribute A6 integer[1,9]
@attribute A7 real[0.0,14415.0]
@attribute A8{0,1}
@attribute A9{0,1}
@attribute A10 integer[0,67]
@attribute A11{0,1}
@attribute A12{1,2,3}
@attribute A13 integer[0,2000]
@attribute A14 integer[1,100001]
@attribute Class{False,True}
@inputs A1, A2, A3, A4, A5, A6, A7, A8, A9, A10, A11, A12, A13, A14
@outputs Class
@data
1,3892.0,175.0,2,4.0,4.0,5.0,0,0,0.0,1,2,300.0,3.0,False
1,3158.0,75.0,1,6.0,4.0,35.0,0,0,0.0,1,2,320.0,1.0,False
1,2508.0,171.0,2,14.0,4.0,1665.0,1,1,1.0,1,2,395.0,21.0,True
1,6542.0,11.0,2,10.0,9.0,20.0,1,1,7.0,1,2,22.0,1.0,True
1,4133.0,0.0,2,8.0,5.0,15.0,1,0,0.0,0,2,0.0,1.0,True
1,3125.0,1125.0,2,1.0,1.0,0.0,0,1,1.0,0,2,96.0,20.0,False
0,3675.0,471.0,2,1.0,1.0,0.0,0,0,0.0,0,2,160.0,1.0,False
1,3233.0,75.0,2,10.0,5.0,1585.0,1,0,0.0,1,1,420.0,1.0,False
0,3192.0,3125.0,2,1.0,1.0,304.0,0,1,2.0,1,2,200.0,5.0,False
1,2483.0,275.0,2,8.0,4.0,225.0,1,1,6.0,0,2,184.0,601.0,True
1,2192.0,54.0,1,14.0,4.0,4.0,1,1,1.0,1,2,840.0,60.0,True
1,3425.0,3.0,2,13.0,8.0,7415.0,1,0,0.0,1,2,0.0,1.0,True
1,5183.0,3.0,1,1.0,1.0,15.0,0,0,0.0,0,2,180.0,5.0,False
0,3157.0,15.0,2,1.0,1.0,0.0,0,1,2.0,1,2,200.0,106.0,False
1,3842.0,705.0,2,8.0,4.0,375.0,0,1,2.0,0,2,225.0,501.0,False
1,3917.0,171.0,2,14.0,4.0,125.0,1,1,5.0,1,2,480.0,1.0,True
1,1817.0,246.0,2,8.0,7.0,96.0,0,1,2.0,1,2,160.0,588.0,False
1,39.0,5.0,2,13.0,4.0,35.0,1,1,10.0,1,2,0.0,1.0,True
1,20.0,11045.0,2,8.0,4.0,2.0,0,0,0.0,1,2,136.0,1.0,False
1,3275.0,2335.0,2,2.0,8.0,575.0,0,0,0.0,1,2,292.0,1.0,False
1,1858.0,571.0,2,2.0,4.0,54.0,0,0,0.0,0,2,120.0,1.0,False
0,1583.0,7625.0,2,11.0,4.0,125.0,0,1,1.0,1,2,0.0,161.0,False
1,3933.0,5875.0,2,13.0,8.0,10.0,1,1,14.0,1,2,399.0,1.0,True
0,1958.0,665.0,2,9.0,4.0,1665.0,0,0,0.0,0,2,220.0,6.0,False
1,2133.0,105.0,2,8.0,4.0,3.0,1,0,0.0,1,2,0.0,1.0,True
0,2267.0,75.0,2,8.0,4.0,2.0,0,1,2.0,1,2,200.0,395.0,False
1,2567.0,325.0,2,8.0,8.0,229.0,0,1,1.0,1,2,416.0,22.0,False
1,2108.0,10085.0,1,10.0,8.0,125.0,0,0,0.0,0,2,260.0,1.0,False
0,49.0,15.0,2,5.0,3.0,0.0,1,0,0.0,1,2,100.0,28.0,False
1,2067.0,529.0,2,11.0,4.0,375.0,1,1,1.0,0,2,160.0,1.0,False
0,1967.0,21.0,2,11.0,8.0,29.0,1,1,11.0,0,2,80.0,100.0,True
1,2183.0,25.0,2,2.0,8.0,665.0,1,0,0.0,1,2,0.0,1.0,True
1,2683.0,54.0,2,4.0,1.0,0.0,0,0,0.0,0,2,100.0,1.0,False
0,3858.0,5.0,2,13.0,4.0,135.0,1,0,0.0,1,2,980.0,1.0,False
0,5008.0,1254.0,2,6.0,4.0,229.0,1,1,3.0,1,2,156.0,1.0,True
0,1575.0,375.0,2,8.0,4.0,1.0,0,0,0.0,0,2,120.0,19.0,False
0,245.0,1275.0,2,8.0,5.0,475.0,1,1,2.0,0,2,73.0,445.0,True
1,21.0,479.0,1,9.0,4.0,225.0,1,1,1.0,1,2,80.0,301.0,True
1,2208.0,11.0,2,13.0,4.0,665.0,1,0,0.0,0,2,100.0,1.0,True
1,5458.0,9415.0,2,1.0,1.0,14415.0,1,1,11.0,1,2,30.0,301.0,True
1,1808.0,55.0,2,4.0,4.0,5.0,1,0,0.0,0,2,80.0,1.0,True
1,3667.0,4415.0,1,4.0,4.0,25.0,1,1,10.0,1,2,320.0,1.0,True
1,3817.0,10125.0,2,14.0,4.0,25.0,1,1,6.0,0,2,520.0,197.0,True
1,2183.0,154.0,2,4.0,4.0,85.0,0,0,0.0,1,2,356.0,1.0,False
0,5192.0,65.0,2,3.0,5.0,3085.0,0,0,0.0,1,2,73.0,1.0,False
1,2217.0,225.0,2,3.0,4.0,125.0,0,0,0.0,0,2,160.0,11.0,False
1,5242.0,15.0,2,2.0,4.0,375.0,0,0,0.0,1,2,0.0,351.0,False
0,6092.0,5.0,2,6.0,4.0,4.0,1,1,4.0,0,2,0.0,100.0,True
1,2017.0,5625.0,2,9.0,4.0,171.0,1,0,0.0,0,1,120.0,1.0,True
1,2325.0,4.0,2,8.0,5.0,25.0,1,0,0.0,1,2,160.0,1.0,True
1,3617.0,42.0,1,9.0,4.0,29.0,0,0,0.0,1,2,309.0,3.0,False
0,4225.0,175.0,1,8.0,4.0,0.0,0,0,0.0,1,2,150.0,2.0,False
1,2358.0,835.0,2,3.0,8.0,85.0,0,0,0.0,1,2,220.0,6.0,False
0,36.0,1.0,2,8.0,4.0,2.0,1,1,11.0,0,2,0.0,457.0,True
1,3958.0,5.0,2,1.0,1.0,0.0,0,1,2.0,0,2,17.0,2.0,False
0,1883.0,4415.0,1,8.0,8.0,3.0,1,0,0.0,0,2,240.0,1.0,True
1,2725.0,625.0,2,6.0,4.0,455.0,1,0,0.0,1,2,200.0,1.0,False
1,3242.0,3.0,2,2.0,4.0,165.0,0,0,0.0,1,2,120.0,1.0,False
1,1942.0,15.0,1,13.0,4.0,2.0,1,0,0.0,1,2,100.0,21.0,False
0,2258.0,1075.0,2,11.0,4.0,415.0,1,1,5.0,1,2,0.0,561.0,True
1,3992.0,621.0,2,11.0,4.0,4.0,1,1,1.0,0,2,200.0,301.0,True
1,2267.0,165.0,2,8.0,3.0,225.0,0,0,0.0,1,1,0.0,1.0,True
0,2342.0,79.0,1,11.0,4.0,15.0,1,1,2.0,1,2,80.0,401.0,True
0,30.0,529.0,2,10.0,2.0,225.0,1,1,5.0,1,2,99.0,501.0,True
0,4033.0,754.0,1,11.0,8.0,8.0,1,1,14.0,0,2,0.0,2301.0,True
0,3675.0,5125.0,2,10.0,4.0,5.0,1,0,0.0,1,2,0.0,4001.0,True
1,31.0,2085.0,2,8.0,4.0,85.0,0,0,0.0,0,2,300.0,1.0,False
0,2517.0,2875.0,2,14.0,8.0,875.0,1,0,0.0,0,2,360.0,1.0,True
1,2742.0,125.0,2,6.0,5.0,25.0,0,0,0.0,1,2,720.0,1.0,False
1,3157.0,4.0,2,14.0,4.0,5.0,1,1,3.0,1,2,290.0,2280.0,True
1,3408.0,65.0,2,6.0,4.0,125.0,1,0,0.0,1,2,443.0,1.0,False
1,2208.0,2335.0,2,4.0,4.0,75.0,0,0,0.0,0,2,180.0,1.0,False
1,3108.0,3085.0,2,8.0,4.0,25.0,0,1,2.0,1,2,160.0,42.0,False
1,3157.0,5.0,2,8.0,5.0,835.0,1,0,0.0,1,1,320.0,1.0,False
1,16.0,3125.0,2,9.0,4.0,85.0,0,1,1.0,0,2,0.0,7.0,False
1,2725.0,1665.0,2,13.0,8.0,5085.0,1,1,9.0,0,2,399.0,828.0,True
1,2517.0,3.0,2,8.0,4.0,125.0,0,1,1.0,0,2,0.0,23.0,False
1,6775.0,55.0,2,10.0,9.0,13.0,1,1,1.0,1,2,0.0,1.0,True
0,1883.0,95.0,2,9.0,4.0,1625.0,1,1,6.0,1,2,40.0,601.0,True
0,2725.0,29.0,2,7.0,8.0,125.0,0,1,1.0,1,2,272.0,109.0,False
0,1958.0,665.0,1,8.0,4.0,1.0,0,1,1.0,0,2,2000.0,3.0,False
1,3075.0,1585.0,2,2.0,4.0,585.0,0,0,0.0,1,1,0.0,1.0,False
0,5025.0,835.0,2,6.0,4.0,5.0,0,0,0.0,1,2,240.0,118.0,False
1,3108.0,15.0,1,9.0,4.0,4.0,0,0,0.0,0,1,160.0,1.0,False
1,5158.0,15.0,2,8.0,4.0,85.0,1,1,9.0,0,2,0.0,1.0,True
0,3658.0,29.0,2,1.0,1.0,0.0,0,1,10.0,0,2,200.0,19.0,False
1,3358.0,275.0,2,7.0,4.0,425.0,1,1,6.0,0,2,204.0,1.0,True
0,2083.0,3.0,2,6.0,4.0,4.0,1,0,0.0,0,2,100.0,1.0,True
1,3617.0,18125.0,2,9.0,4.0,85.0,0,0,0.0,0,2,320.0,3553.0,False
1,5075.0,585.0,2,1.0,1.0,0.0,0,0,0.0,0,2,145.0,1.0,False
0,2358.0,83.0,2,11.0,4.0,415.0,0,1,1.0,1,2,200.0,12.0,False
1,3517.0,45.0,2,14.0,8.0,575.0,0,0,0.0,1,1,711.0,1.0,True
0,5842.0,21.0,2,3.0,5.0,10.0,1,1,13.0,0,2,0.0,6701.0,True
1,2825.0,875.0,2,7.0,4.0,96.0,1,1,3.0,1,2,396.0,1.0,True
1,3157.0,625.0,2,4.0,4.0,25.0,0,0,0.0,0,2,380.0,2011.0,False
0,3175.0,3.0,1,5.0,3.0,0.0,0,0,0.0,0,2,160.0,21.0,False
1,1942.0,65.0,2,9.0,8.0,146.0,1,1,7.0,0,2,80.0,2955.0,True
1,3908.0,6.0,2,7.0,4.0,129.0,1,1,5.0,1,2,108.0,1098.0,True
1,1708.0,329.0,2,3.0,4.0,335.0,0,0,0.0,1,2,140.0,3.0,False
1,4483.0,7.0,1,8.0,4.0,1625.0,0,0,0.0,0,2,160.0,3.0,False
1,1625.0,0.0,1,6.0,4.0,25.0,0,0,0.0,0,2,60.0,1.0,False
0,4117.0,65.0,2,11.0,4.0,5.0,1,1,3.0,1,2,145.0,1.0,True
1,2892.0,15.0,2,8.0,8.0,5335.0,1,1,11.0,0,2,0.0,2284.0,True
0,2617.0,2.0,2,5.0,3.0,0.0,0,0,0.0,1,2,276.0,2.0,False
1,3858.0,3335.0,2,9.0,4.0,4.0,1,1,14.0,0,2,383.0,1345.0,True
1,2517.0,6.0,2,8.0,4.0,1.0,1,1,3.0,0,2,0.0,1.0,True
0,2817.0,375.0,2,11.0,4.0,585.0,1,1,4.0,0,2,80.0,1.0,True
1,7342.0,1775.0,2,1.0,1.0,0.0,1,0,0.0,1,2,0.0,1.0,True
1,225.0,115.0,1,7.0,4.0,15.0,0,0,0.0,1,2,0.0,4001.0,False
0,2717.0,125.0,2,1.0,1.0,0.0,0,1,1.0,0,2,92.0,301.0,False
0,1917.0,8585.0,2,13.0,8.0,75.0,1,1,7.0,0,2,96.0,1.0,True
0,2558.0,0.0,2,8.0,4.0,0.0,0,0,0.0,0,3,184.0,1.0,True
1,3157.0,4.0,1,2.0,4.0,425.0,0,0,0.0,1,2,460.0,1.0,False
0,225.0,85.0,2,11.0,4.0,175.0,1,1,10.0,0,2,80.0,991.0,False
0,2292.0,125.0,2,11.0,4.0,25.0,0,0,0.0,1,2,120.0,810.0,False
1,2325.0,12625.0,2,8.0,4.0,125.0,0,1,2.0,0,2,0.0,5553.0,False
0,295.0,1085.0,1,14.0,4.0,1.0,0,0,0.0,0,2,280.0,14.0,False
0,32.0,6.0,2,2.0,4.0,125.0,0,0,0.0,0,2,272.0,1.0,False
1,27.0,15.0,1,9.0,4.0,375.0,1,0,0.0,1,2,260.0,1066.0,True
1,1933.0,10915.0,2,8.0,5.0,585.0,0,1,2.0,1,2,200.0,8.0,False
1,3575.0,2415.0,2,9.0,4.0,125.0,0,1,2.0,0,2,220.0,2.0,False
1,1883.0,0.0,2,11.0,4.0,665.0,0,0,0.0,0,2,160.0,2.0,False
0,2875.0,375.0,2,8.0,4.0,1085.0,1,1,1.0,1,2,371.0,1.0,True
1,3442.0,425.0,2,3.0,5.0,325.0,1,1,2.0,0,2,274.0,611.0,True
0,3325.0,3.0,1,6.0,4.0,2.0,0,0,0.0,0,2,180.0,1.0,False
1,5392.0,9625.0,2,10.0,4.0,8665.0,1,1,5.0,0,2,0.0,1.0,True
1,2525.0,1.0,2,6.0,4.0,5.0,0,0,0.0,0,2,200.0,1.0,False
1,3242.0,2165.0,1,4.0,1.0,0.0,0,0,0.0,0,2,120.0,1.0,False
0,2108.0,5.0,1,1.0,1.0,0.0,0,0,0.0,0,2,0.0,1.0,False
0,565.0,16.0,2,5.0,1.0,0.0,1,1,15.0,0,2,0.0,248.0,True
1,3225.0,165.0,1,8.0,8.0,325.0,1,1,1.0,1,2,432.0,8001.0,True
0,205.0,11835.0,2,8.0,8.0,6.0,1,0,0.0,0,2,340.0,1.0,True
0,3025.0,55.0,2,4.0,4.0,55.0,0,0,0.0,1,1,100.0,1.0,False
0,2458.0,67.0,2,6.0,8.0,175.0,1,0,0.0,0,2,400.0,1.0,False
1,2317.0,11125.0,2,14.0,8.0,46.0,1,1,1.0,0,2,100.0,1.0,True
0,3157.0,1125.0,2,1.0,1.0,0.0,0,0,0.0,0,2,184.0,5201.0,False
0,3233.0,54.0,2,13.0,4.0,4.0,1,0,0.0,0,2,440.0,11178.0,True
1,2392.0,15.0,2,2.0,8.0,1875.0,1,1,6.0,0,2,200.0,328.0,True
1,3675.0,125.0,1,8.0,4.0,15.0,0,0,0.0,1,2,232.0,114.0,True
1,2983.0,125.0,1,4.0,4.0,25.0,0,0,0.0,0,2,224.0,1.0,False
0,2408.0,5.0,2,11.0,8.0,125.0,1,1,1.0,0,2,0.0,679.0,True
1,2117.0,25.0,1,8.0,8.0,25.0,0,0,0.0,0,2,280.0,205.0,False
1,3142.0,155.0,2,8.0,4.0,5.0,1,0,0.0,0,2,120.0,1.0,False
1,2283.0,3.0,2,7.0,4.0,129.0,1,1,1.0,0,2,260.0,801.0,True
1,375.0,175.0,1,8.0,5.0,25.0,1,0,0.0,1,2,164.0,401.0,False
0,2483.0,45.0,2,9.0,4.0,1.0,0,0,0.0,1,2,360.0,7.0,False
1,3633.0,379.0,2,9.0,4.0,1165.0,1,0,0.0,1,2,200.0,1.0,False
0,4725.0,75.0,2,11.0,8.0,275.0,1,1,1.0,0,2,333.0,893.0,True
1,3208.0,4.0,1,13.0,4.0,15.0,0,0,0.0,1,2,120.0,1.0,False
0,3058.0,10665.0,2,11.0,8.0,85.0,0,1,12.0,1,2,129.0,4.0,False
1,2783.0,154.0,2,9.0,4.0,375.0,1,1,5.0,1,2,100.0,4.0,True
1,5483.0,155.0,2,10.0,9.0,0.0,1,1,20.0,0,2,152.0,131.0,False
1,1608.0,75.0,2,8.0,4.0,175.0,1,1,5.0,1,2,352.0,691.0,True
1,2458.0,125.0,2,9.0,4.0,875.0,1,0,0.0,1,2,260.0,1.0,False
1,3267.0,55.0,2,11.0,8.0,55.0,1,1,12.0,1,2,408.0,1001.0,True
1,3017.0,5.0,2,8.0,4.0,175.0,1,1,11.0,0,2,32.0,541.0,True
1,2225.0,46.0,2,4.0,4.0,125.0,0,0,0.0,1,2,280.0,56.0,False
1,4175.0,96.0,2,14.0,4.0,25.0,1,0,0.0,0,2,510.0,601.0,True
1,3667.0,2.0,2,3.0,4.0,25.0,0,0,0.0,1,2,221.0,1.0,False
1,2583.0,12835.0,2,13.0,4.0,5.0,0,0,0.0,0,2,0.0,3.0,False
1,2992.0,1835.0,2,8.0,8.0,4335.0,1,0,0.0,0,2,260.0,201.0,True
1,2008.0,25.0,2,11.0,4.0,125.0,0,0,0.0,0,2,200.0,1.0,False
1,1967.0,375.0,2,11.0,4.0,2.0,1,1,2.0,1,2,80.0,1.0,True
1,5142.0,4.0,2,14.0,8.0,4.0,1,0,0.0,0,2,0.0,3001.0,True
1,6275.0,7.0,2,10.0,9.0,0.0,0,0,0.0,0,2,0.0,13.0,False
1,4058.0,329.0,2,7.0,4.0,35.0,0,0,0.0,1,1,400.0,1.0,False
0,1633.0,21.0,2,6.0,4.0,125.0,0,0,0.0,0,2,200.0,2.0,False
1,295.0,58.0,2,9.0,4.0,29.0,0,1,1.0,0,2,340.0,2804.0,False
1,34.0,45.0,2,6.0,4.0,1.0,1,0,0.0,1,2,240.0,1.0,False
0,7158.0,0.0,2,8.0,4.0,0.0,0,0,0.0,0,3,184.0,1.0,True
1,42.0,205.0,2,3.0,8.0,5125.0,1,0,0.0,0,2,400.0,1.0,True
0,225.0,11.0,1,11.0,4.0,3.0,1,0,0.0,1,2,268.0,1.0,False
1,2442.0,2.0,2,10.0,2.0,165.0,0,1,2.0,0,2,320.0,1301.0,False
1,4433.0,5.0,2,3.0,8.0,5.0,1,0,0.0,1,2,320.0,1.0,True
0,23.0,1175.0,2,14.0,8.0,5.0,1,1,2.0,1,2,300.0,552.0,True
1,3442.0,1335.0,2,3.0,5.0,125.0,0,0,0.0,1,2,440.0,4501.0,False
1,2308.0,115.0,2,3.0,4.0,35.0,1,1,9.0,0,2,56.0,743.0,True
1,2592.0,875.0,2,4.0,4.0,375.0,0,1,2.0,1,2,174.0,4.0,False
0,1758.0,9.0,2,6.0,4.0,1375.0,1,0,0.0,1,2,0.0,1.0,True
1,2042.0,1085.0,2,11.0,4.0,15.0,0,0,0.0,0,2,108.0,8.0,False
1,3167.0,16165.0,2,2.0,4.0,3.0,1,1,9.0,0,2,250.0,731.0,True
0,5758.0,2.0,2,1.0,1.0,65.0,0,1,1.0,0,2,0.0,11.0,False
1,5967.0,154.0,2,11.0,4.0,125.0,1,0,0.0,1,2,260.0,1.0,True
0,6517.0,14.0,2,1.0,1.0,0.0,1,1,11.0,1,2,0.0,1401.0,True
1,3008.0,104.0,1,3.0,5.0,5.0,1,1,10.0,1,2,132.0,29.0,False
1,4858.0,65.0,2,11.0,8.0,6.0,1,0,0.0,1,2,350.0,1.0,True
0,2358.0,115.0,1,4.0,8.0,3.0,0,0,0.0,1,2,20.0,17.0,False
1,2017.0,925.0,2,8.0,4.0,1665.0,1,1,3.0,1,2,40.0,29.0,True
1,4817.0,7625.0,2,9.0,8.0,155.0,1,1,12.0,0,2,0.0,791.0,True
1,2325.0,15.0,2,11.0,4.0,2375.0,1,1,3.0,1,2,0.0,583.0,True
1,3225.0,14.0,1,1.0,1.0,0.0,0,1,2.0,0,2,160.0,2.0,False
1,3358.0,335.0,1,13.0,4.0,85.0,0,0,0.0,0,2,180.0,1.0,False
1,2358.0,46.0,1,9.0,4.0,2625.0,1,1,6.0,1,2,208.0,348.0,False
1,1692.0,335.0,1,4.0,4.0,29.0,0,0,0.0,0,1,200.0,1.0,False
0,2083.0,85.0,2,8.0,4.0,165.0,0,0,0.0,0,2,0.0,352.0,False
0,6058.0,165.0,2,11.0,4.0,11.0,1,0,0.0,1,2,21.0,10562.0,True
1,3157.0,5.0,1,6.0,4.0,85.0,1,0,0.0,0,2,0.0,1.0,False
0,25.0,1233.0,2,13.0,8.0,35.0,1,1,6.0,0,2,400.0,459.0,True
1,215.0,975.0,2,8.0,4.0,25.0,1,0,0.0,0,2,140.0,1.0,False
1,2042.0,0.0,2,8.0,4.0,0.0,0,0,0.0,0,3,184.0,1.0,False
0,2525.0,135.0,1,1.0,1.0,2.0,0,1,1.0,1,2,200.0,2.0,False
1,4283.0,4625.0,2,11.0,4.0,458.0,1,0,0.0,0,1,0.0,1.0,True
1,2667.0,175.0,1,8.0,4.0,1.0,1,1,5.0,1,2,160.0,5778.0,True
1,5783.0,704.0,2,7.0,4.0,14.0,1,1,6.0,1,2,360.0,1333.0,True
1,5592.0,115.0,2,1.0,1.0,5.0,1,1,5.0,0,2,0.0,8852.0,True
1,5133.0,10.0,2,3.0,5.0,0.0,1,1,11.0,0,2,0.0,1250.0,True
1,3983.0,5.0,2,7.0,4.0,25.0,1,0,0.0,0,1,288.0,1.0,False
1,2758.0,204.0,1,6.0,4.0,2.0,1,1,3.0,1,2,370.0,561.0,True
1,3017.0,65.0,2,13.0,4.0,3125.0,1,1,8.0,0,2,330.0,1201.0,True
1,5183.0,204.0,1,1.0,1.0,15.0,0,0,0.0,0,2,120.0,2.0,False
0,25.0,11.0,1,6.0,4.0,45.0,1,0,0.0,0,2,120.0,1.0,False
1,2967.0,75.0,1,8.0,4.0,4.0,0,0,0.0,0,2,240.0,1.0,False
0,3367.0,375.0,2,13.0,4.0,375.0,0,0,0.0,0,2,300.0,45.0,True
1,2575.0,75.0,2,8.0,5.0,25.0,1,0,0.0,0,2,349.0,24.0,True
0,2867.0,104.0,2,8.0,4.0,25.0,1,1,5.0,1,2,300.0,1431.0,True
0,1808.0,375.0,3,13.0,1.0,10.0,0,0,0.0,1,1,300.0,1.0,True
1,2042.0,7.0,2,8.0,4.0,1625.0,1,1,3.0,0,2,200.0,1392.0,True
1,175.0,22.0,3,1.0,7.0,0.0,0,0,0.0,1,3,450.0,100001.0,True
1,1808.0,675.0,1,7.0,4.0,4.0,0,0,0.0,0,2,140.0,1.0,False
1,4767.0,25.0,2,7.0,5.0,25.0,1,1,12.0,1,2,410.0,2511.0,True
1,5742.0,85.0,2,10.0,8.0,7.0,1,1,3.0,0,2,0.0,1.0,True
1,1375.0,4.0,1,9.0,4.0,175.0,1,1,2.0,1,2,120.0,1001.0,True
1,1933.0,95.0,2,11.0,4.0,1.0,1,0,0.0,1,2,60.0,401.0,True
0,2192.0,11665.0,2,4.0,8.0,85.0,0,0,0.0,0,2,320.0,6.0,False
1,1758.0,10.0,2,9.0,8.0,165.0,0,1,1.0,0,2,120.0,2.0,False
1,3483.0,25.0,1,9.0,4.0,3.0,0,0,0.0,0,1,200.0,1.0,False
1,2917.0,35.0,2,9.0,4.0,35.0,1,1,3.0,1,2,329.0,1.0,False
1,2142.0,75.0,1,12.0,7.0,75.0,0,0,0.0,1,2,132.0,3.0,False
1,1817.0,1025.0,2,8.0,8.0,1085.0,0,0,0.0,0,2,320.0,14.0,False
1,28.0,3.0,2,9.0,4.0,75.0,0,0,0.0,1,2,300.0,68.0,False
0,4583.0,105.0,2,11.0,4.0,5.0,1,1,7.0,1,2,0.0,1.0,True
1,2275.0,115.0,2,3.0,4.0,415.0,0,0,0.0,0,2,0.0,1.0,False
0,3157.0,35.0,2,2.0,4.0,3.0,1,0,0.0,1,2,300.0,1.0,False
0,2042.0,75.0,2,4.0,4.0,15.0,1,1,1.0,0,2,160.0,235.0,True
0,2125.0,2335.0,2,3.0,5.0,5.0,1,1,4.0,0,1,80.0,1.0,True
1,2667.0,425.0,2,13.0,4.0,429.0,1,1,1.0,1,2,120.0,1.0,True
0,2733.0,1665.0,2,1.0,1.0,0.0,0,0,0.0,0,2,340.0,2.0,False
1,4208.0,104.0,2,9.0,4.0,5.0,1,1,6.0,1,2,500.0,10001.0,True
0,1825.0,10.0,2,9.0,4.0,1.0,0,1,1.0,0,2,120.0,2.0,False
0,285.0,1.0,2,11.0,4.0,1.0,1,1,2.0,1,2,167.0,501.0,False
0,215.0,6.0,2,6.0,4.0,25.0,1,1,3.0,0,2,80.0,919.0,True
1,2183.0,11.0,2,14.0,4.0,29.0,1,1,6.0,0,2,121.0,1.0,True
1,2192.0,5.0,2,8.0,4.0,125.0,0,0,0.0,0,2,360.0,1.0,False
1,3267.0,9.0,1,9.0,8.0,525.0,1,0,0.0,1,2,154.0,1.0,True
0,4533.0,1.0,2,11.0,4.0,125.0,0,0,0.0,1,2,263.0,1.0,False
0,2358.0,585.0,1,1.0,1.0,125.0,0,0,0.0,0,2,120.0,88.0,False
0,1792.0,54.0,2,8.0,4.0,175.0,0,1,1.0,1,2,80.0,6.0,False
1,33.0,25.0,1,9.0,4.0,7.0,0,0,0.0,1,2,280.0,1.0,False
0,2267.0,335.0,2,11.0,4.0,75.0,0,0,0.0,0,1,160.0,1.0,False
1,3467.0,108.0,2,7.0,4.0,1165.0,0,0,0.0,0,1,28.0,1.0,False
1,2967.0,1415.0,2,9.0,8.0,75.0,1,1,1.0,0,2,240.0,101.0,True
1,3183.0,25.0,2,6.0,4.0,75.0,1,0,0.0,1,2,523.0,1.0,False
0,2067.0,1835.0,2,11.0,4.0,2085.0,1,1,5.0,0,2,220.0,2504.0,True
1,3375.0,275.0,2,3.0,5.0,0.0,0,0,0.0,0,2,180.0,1.0,False
1,2208.0,83.0,2,8.0,8.0,2165.0,0,0,0.0,1,2,128.0,1.0,True
0,3542.0,12.0,2,11.0,8.0,14.0,1,1,8.0,0,2,0.0,6591.0,True
1,3192.0,446.0,2,13.0,8.0,604.0,1,1,3.0,0,2,311.0,301.0,True
0,2267.0,79.0,2,3.0,4.0,85.0,0,0,0.0,0,2,144.0,1.0,False
1,2667.0,14585.0,2,3.0,5.0,0.0,0,0,0.0,1,2,178.0,1.0,False
1,44.0,2.0,2,7.0,4.0,175.0,1,1,2.0,1,2,0.0,16.0,True
1,3017.0,1085.0,1,8.0,4.0,4.0,0,0,0.0,0,2,170.0,180.0,False
1,3775.0,7.0,2,11.0,8.0,115.0,1,1,7.0,1,2,300.0,6.0,False
1,1708.0,85.0,1,8.0,4.0,4.0,0,0,0.0,0,2,140.0,723.0,False
1,4917.0,229.0,2,1.0,1.0,29.0,0,0,0.0,0,2,200.0,4.0,False
1,2292.0,17.0,2,7.0,4.0,85.0,0,0,0.0,0,1,0.0,1.0,False
0,3483.0,125.0,1,3.0,8.0,5.0,0,0,0.0,1,2,160.0,1.0,False
1,4425.0,11.0,1,2.0,4.0,15.0,1,0,0.0,0,1,0.0,1.0,False
1,595.0,275.0,2,9.0,4.0,175.0,1,1,5.0,1,2,60.0,59.0,True
1,255.0,375.0,2,7.0,4.0,25.0,1,1,3.0,0,2,260.0,15109.0,True
0,4158.0,104.0,2,6.0,4.0,665.0,0,0,0.0,0,2,240.0,238.0,False
1,4958.0,19.0,2,1.0,1.0,0.0,1,1,1.0,0,2,94.0,1.0,False
0,3392.0,1585.0,1,1.0,1.0,0.0,1,0,0.0,0,2,320.0,1.0,False
1,1917.0,4.0,1,3.0,4.0,1.0,0,0,0.0,1,2,360.0,1001.0,False
0,245.0,2415.0,1,8.0,4.0,0.0,0,0,0.0,0,2,120.0,1.0,False
1,2333.0,15.0,2,8.0,8.0,1415.0,1,0,0.0,0,2,422.0,201.0,True
1,6917.0,9.0,2,1.0,1.0,4.0,0,1,1.0,0,2,70.0,7.0,False
1,4767.0,29.0,2,8.0,5.0,15.0,1,1,20.0,0,2,0.0,15001.0,True
0,3325.0,25.0,1,8.0,4.0,25.0,0,0,0.0,1,2,0.0,3.0,False
1,4325.0,3.0,2,11.0,8.0,6.0,1,1,11.0,0,2,80.0,1.0,True
1,23.0,625.0,1,6.0,4.0,125.0,1,0,0.0,0,2,180.0,2.0,False
1,3475.0,25.0,2,13.0,5.0,5.0,0,0,0.0,0,2,348.0,1.0,False
1,5658.0,185.0,2,2.0,5.0,15.0,1,1,17.0,1,2,0.0,1.0,True
0,4417.0,6665.0,2,11.0,4.0,7375.0,1,1,3.0,1,2,0.0,1.0,True
0,4433.0,0.0,2,8.0,4.0,25.0,1,0,0.0,0,2,0.0,1.0,True
1,3425.0,175.0,2,9.0,5.0,25.0,1,0,0.0,1,2,163.0,1.0,False
0,45.0,4585.0,2,4.0,8.0,1.0,0,0,0.0,1,1,240.0,1.0,False
1,3058.0,271.0,1,7.0,4.0,125.0,0,0,0.0,1,1,80.0,1.0,False
1,2767.0,75.0,2,11.0,8.0,165.0,0,0,0.0,1,2,220.0,252.0,False
1,1942.0,725.0,2,7.0,4.0,4.0,0,1,1.0,0,2,100.0,2.0,False
