@relation dataDiscretized
@attribute a01 {'[0,1]'}
@attribute a03 {'[-1,0.659)','[0.659,0.957)','[0.957,1]'}
@attribute a04 {'[-1,-0.0135)','[-0.0135,0.111)','[0.111,1]'}
@attribute a05 {'[-1,0.633)','[0.633,0.962)','[0.962,1]'}
@attribute a06 {'[-1,0)','[0,0.173)','[0.173,1]'}
@attribute a07 {'[-1,0.436)','[0.436,0.895)','[0.895,1]'}
@attribute a08 {'[-1,-0.00617)','[-0.00617,0.196)','[0.196,1]'}
@attribute a09 {'[-1,0.346)','[0.346,0.88)','[0.88,1]'}
@attribute a10 {'[-1,0)','[0,0.224)','[0.224,1]'}
@attribute a11 {'[-1,0.361)','[0.361,0.907)','[0.907,1]'}
@attribute a12 {'[-1,-0.00297)','[-0.00297,0.257)','[0.257,1]'}
@attribute a13 {'[-1,0.123)','[0.123,0.865)','[0.865,1]'}
@attribute a14 {'[-1,-0.00819)','[-0.00819,0.159)','[0.159,1]'}
@attribute a15 {'[-1,0)','[0,0.827)','[0.827,1]'}
@attribute a16 {'[-1,-0.0315)','[-0.0315,0.111)','[0.111,1]'}
@attribute a17 {'[-1,0.161)','[0.161,0.838)','[0.838,1]'}
@attribute a18 {'[-1,-0.116)','[-0.116,0.0788)','[0.0788,1]'}
@attribute a19 {'[-1,0.122)','[0.122,0.808)','[0.808,1]'}
@attribute a20 {'[-1,-0.118)','[-0.118,0.0436)','[0.0436,1]'}
@attribute a21 {'[-1,0)','[0,0.787)','[0.787,1]'}
@attribute a22 {'[-1,-0.0886)','[-0.0886,0.0759)','[0.0759,1]'}
@attribute a23 {'[-1,0.0275)','[0.0275,0.798)','[0.798,1]'}
@attribute a24 {'[-1,-0.186)','[-0.186,0.0709)','[0.0709,1]'}
@attribute a25 {'[-1,0.218)','[0.218,0.815)','[0.815,1]'}
@attribute a26 {'[-1,-0.196)','[-0.196,0.0416)','[0.0416,1]'}
@attribute a27 {'[-1,0.463)','[0.463,0.921)','[0.921,1]'}
@attribute a28 {'[-1,-0.176)','[-0.176,0.0748)','[0.0748,1]'}
@attribute a29 {'[-1,0.157)','[0.157,0.78)','[0.78,1]'}
@attribute a30 {'[-1,-0.131)','[-0.131,0.0719)','[0.0719,1]'}
@attribute a31 {'[-1,0.141)','[0.141,0.733)','[0.733,1]'}
@attribute a32 {'[-1,-0.119)','[-0.119,0.0906)','[0.0906,1]'}
@attribute a33 {'[-1,0.000217)','[0.000217,0.674)','[0.674,1]'}
@attribute a34 {'[-1,-0.064)','[-0.064,0.0654)','[0.0654,1]'}
@attribute class {'b','g'}
@data
'[0,1]','[0.957,1]','[-0.0135,0.111)','[0.962,1]','[-1,0)','[0.895,1]','[-1,-0.00617)','[0.88,1]','[-1,0)','[0.907,1]','[-1,-0.00297)','[0.865,1]','[-1,-0.00819)','[0.827,1]','[-1,-0.0315)','[0.838,1]','[-1,-0.116)','[0.808,1]','[-1,-0.118)','[0.787,1]','[-1,-0.0886)','[0.798,1]','[-0.186,0.0709)','[0.815,1]','[-1,-0.196)','[0.463,0.921)','[-1,-0.176)','[0.78,1]','[-1,-0.131)','[0.733,1]','[-1,-0.119)','[0.674,1]','[-1,-0.064)','g'
'[0,1]','[0.957,1]','[0.111,1]','[0.962,1]','[-1,0)','[-1,0.436)','[-0.00617,0.196)','[-1,0.346)','[0,0.224)','[-1,0.361)','[-1,-0.00297)','[-1,0.123)','[-0.00819,0.159)','[0,0.827)','[-0.0315,0.111)','[-1,0.161)','[0.0788,1]','[0.808,1]','[0.0436,1]','[-1,0)','[0.0759,1]','[-1,0.0275)','[0.0709,1]','[0.815,1]','[-1,-0.196)','[0.921,1]','[0.0748,1]','[-1,0.157)','[0.0719,1]','[0.733,1]','[0.0906,1]','[-1,0.000217)','[-0.064,0.0654)','b'
'[0,1]','[0.659,0.957)','[-0.0135,0.111)','[0.633,0.962)','[0,0.173)','[0.895,1]','[-0.00617,0.196)','[0.88,1]','[0,0.224)','[0.907,1]','[-0.00297,0.257)','[0.865,1]','[-0.00819,0.159)','[0.827,1]','[-0.0315,0.111)','[0.838,1]','[0.0788,1]','[0.808,1]','[0.0436,1]','[0.787,1]','[0.0759,1]','[0.0275,0.798)','[0.0709,1]','[0.218,0.815)','[0.0416,1]','[0.463,0.921)','[0.0748,1]','[0.157,0.78)','[0.0719,1]','[0.141,0.733)','[0.0906,1]','[0.000217,0.674)','[0.0654,1]','g'
'[0,1]','[0.957,1]','[-0.0135,0.111)','[0.962,1]','[0,0.173)','[0.895,1]','[-0.00617,0.196)','[0.346,0.88)','[-1,0)','[0.907,1]','[-0.00297,0.257)','[0.865,1]','[0.159,1]','[0,0.827)','[0.111,1]','[0.161,0.838)','[0.0788,1]','[0.808,1]','[0.0436,1]','[0,0.787)','[0.0759,1]','[0.0275,0.798)','[0.0709,1]','[0.218,0.815)','[0.0416,1]','[0.463,0.921)','[0.0748,1]','[0.157,0.78)','[0.0719,1]','[0.141,0.733)','[0.0906,1]','[0.674,1]','[0.0654,1]','b'
'[0,1]','[0.957,1]','[-0.0135,0.111)','[0.962,1]','[0.173,1]','[0.895,1]','[0.196,1]','[0.88,1]','[0.224,1]','[0.361,0.907)','[0.257,1]','[0.123,0.865)','[0.159,1]','[0,0.827)','[0.111,1]','[0.161,0.838)','[0.0788,1]','[0.122,0.808)','[0.0436,1]','[0,0.787)','[0.0759,1]','[0.0275,0.798)','[0.0709,1]','[0.218,0.815)','[0.0416,1]','[-1,0.463)','[0.0748,1]','[0.157,0.78)','[0.0719,1]','[-1,0.141)','[0.0906,1]','[0.000217,0.674)','[0.0654,1]','g'
'[0,1]','[-1,0.659)','[-1,-0.0135)','[0.962,1]','[0.173,1]','[0.895,1]','[-1,-0.00617)','[-1,0.346)','[0,0.224)','[-1,0.361)','[0.257,1]','[0.865,1]','[0.159,1]','[0,0.827)','[-1,-0.0315)','[-1,0.161)','[-1,-0.116)','[-1,0.122)','[-1,-0.118)','[0.787,1]','[-1,-0.0886)','[-1,0.0275)','[0.0709,1]','[-1,0.218)','[-1,-0.196)','[0.921,1]','[-1,-0.176)','[-1,0.157)','[-1,-0.131)','[0.733,1]','[0.0906,1]','[-1,0.000217)','[-0.064,0.0654)','b'
'[0,1]','[0.659,0.957)','[-0.0135,0.111)','[0.633,0.962)','[0,0.173)','[0.895,1]','[-0.00617,0.196)','[0.346,0.88)','[0.224,1]','[0.361,0.907)','[0.257,1]','[0.123,0.865)','[0.159,1]','[0,0.827)','[0.111,1]','[0.161,0.838)','[0.0788,1]','[0.122,0.808)','[0.0436,1]','[0,0.787)','[0.0759,1]','[0.0275,0.798)','[0.0709,1]','[0.218,0.815)','[0.0416,1]','[-1,0.463)','[0.0748,1]','[-1,0.157)','[0.0719,1]','[-1,0.141)','[0.0906,1]','[0.000217,0.674)','[0.0654,1]','g'
'[0,1]','[-1,0.659)','[-1,-0.0135)','[0.962,1]','[0.173,1]','[0.895,1]','[-1,-0.00617)','[0.88,1]','[-1,0)','[0.907,1]','[0.257,1]','[0.865,1]','[-1,-0.00819)','[0.827,1]','[-1,-0.0315)','[0.838,1]','[0.0788,1]','[0.808,1]','[-1,-0.118)','[0.787,1]','[-0.0886,0.0759)','[-1,0.0275)','[0.0709,1]','[0.218,0.815)','[0.0416,1]','[0.921,1]','[0.0748,1]','[0.78,1]','[-1,-0.131)','[0.733,1]','[-1,-0.119)','[0.674,1]','[-1,-0.064)','b'
'[0,1]','[0.957,1]','[-1,-0.0135)','[0.962,1]','[-1,0)','[0.895,1]','[-1,-0.00617)','[0.88,1]','[-1,0)','[0.907,1]','[-1,-0.00297)','[0.865,1]','[-1,-0.00819)','[0.827,1]','[-1,-0.0315)','[0.838,1]','[-1,-0.116)','[0.808,1]','[-1,-0.118)','[0.787,1]','[-1,-0.0886)','[0.0275,0.798)','[-1,-0.186)','[0.218,0.815)','[-1,-0.196)','[0.463,0.921)','[-1,-0.176)','[0.157,0.78)','[-1,-0.131)','[0.141,0.733)','[-1,-0.119)','[0.000217,0.674)','[-1,-0.064)','g'
'[0,1]','[-1,0.659)','[-0.0135,0.111)','[-1,0.633)','[0,0.173)','[-1,0.436)','[-0.00617,0.196)','[0.88,1]','[0.224,1]','[0.907,1]','[0.257,1]','[-1,0.123)','[-0.00819,0.159)','[0,0.827)','[-0.0315,0.111)','[-1,0.161)','[-1,-0.116)','[-1,0.122)','[-1,-0.118)','[0,0.787)','[-0.0886,0.0759)','[-1,0.0275)','[-0.186,0.0709)','[-1,0.218)','[-1,-0.196)','[-1,0.463)','[-1,-0.176)','[-1,0.157)','[0.0719,1]','[0.733,1]','[-0.119,0.0906)','[-1,0.000217)','[-0.064,0.0654)','b'
'[0,1]','[0.957,1]','[-1,-0.0135)','[0.962,1]','[-1,0)','[0.895,1]','[-1,-0.00617)','[0.88,1]','[-1,0)','[0.907,1]','[-1,-0.00297)','[0.865,1]','[-1,-0.00819)','[0.827,1]','[-1,-0.0315)','[0.838,1]','[-1,-0.116)','[0.808,1]','[-1,-0.118)','[0.787,1]','[-1,-0.0886)','[0.798,1]','[-1,-0.186)','[0.815,1]','[-1,-0.196)','[0.463,0.921)','[-1,-0.176)','[0.78,1]','[-1,-0.131)','[0.733,1]','[-1,-0.119)','[0.674,1]','[-1,-0.064)','g'
'[0,1]','[0.659,0.957)','[-1,-0.0135)','[-1,0.633)','[0.173,1]','[-1,0.436)','[0.196,1]','[0.346,0.88)','[-1,0)','[0.907,1]','[-1,-0.00297)','[-1,0.123)','[-0.00819,0.159)','[-1,0)','[0.111,1]','[0.838,1]','[-1,-0.116)','[0.808,1]','[-1,-0.118)','[-1,0)','[-1,-0.0886)','[-1,0.0275)','[0.0709,1]','[0.815,1]','[-1,-0.196)','[0.463,0.921)','[-1,-0.176)','[0.78,1]','[-1,-0.131)','[-1,0.141)','[0.0906,1]','[-1,0.000217)','[0.0654,1]','b'
'[0,1]','[0.957,1]','[-0.0135,0.111)','[0.962,1]','[-1,0)','[0.895,1]','[-1,-0.00617)','[0.88,1]','[-1,0)','[0.907,1]','[-1,-0.00297)','[0.865,1]','[-1,-0.00819)','[0.827,1]','[-1,-0.0315)','[0.838,1]','[-0.116,0.0788)','[0.122,0.808)','[-1,-0.118)','[0.787,1]','[-1,-0.0886)','[0.798,1]','[-1,-0.186)','[0.815,1]','[-1,-0.196)','[0.463,0.921)','[-1,-0.176)','[0.78,1]','[-1,-0.131)','[0.733,1]','[-1,-0.119)','[0.674,1]','[-1,-0.064)','g'
'[0,1]','[-1,0.659)','[-0.0135,0.111)','[0.962,1]','[0.173,1]','[-1,0.436)','[-0.00617,0.196)','[-1,0.346)','[-1,0)','[-1,0.361)','[-0.00297,0.257)','[-1,0.123)','[-0.00819,0.159)','[-1,0)','[-1,-0.0315)','[-1,0.161)','[-1,-0.116)','[0.122,0.808)','[0.0436,1]','[0,0.787)','[-0.0886,0.0759)','[0.0275,0.798)','[0.0709,1]','[-1,0.218)','[0.0416,1]','[0.921,1]','[-1,-0.176)','[-1,0.157)','[0.0719,1]','[-1,0.141)','[-0.119,0.0906)','[-1,0.000217)','[-0.064,0.0654)','b'
'[0,1]','[0.659,0.957)','[-1,-0.0135)','[-1,0.633)','[0,0.173)','[0.895,1]','[-0.00617,0.196)','[0.346,0.88)','[0,0.224)','[0.361,0.907)','[-1,-0.00297)','[0.865,1]','[0.159,1]','[0.827,1]','[-1,-0.0315)','[0.161,0.838)','[-1,-0.116)','[0.808,1]','[-1,-0.118)','[0.787,1]','[0.0759,1]','[0.0275,0.798)','[-0.186,0.0709)','[0.815,1]','[-0.196,0.0416)','[0.921,1]','[-0.176,0.0748)','[0.157,0.78)','[-1,-0.131)','[0.733,1]','[-1,-0.119)','[0.674,1]','[-0.064,0.0654)','g'
'[0,1]','[0.957,1]','[0.111,1]','[0.962,1]','[-1,0)','[-1,0.436)','[-0.00617,0.196)','[-1,0.346)','[0,0.224)','[0.907,1]','[0.257,1]','[0.865,1]','[0.159,1]','[-1,0)','[-1,-0.0315)','[0.838,1]','[-1,-0.116)','[-1,0.122)','[0.0436,1]','[0,0.787)','[-0.0886,0.0759)','[0.798,1]','[-1,-0.186)','[0.815,1]','[-1,-0.196)','[0.921,1]','[0.0748,1]','[-1,0.157)','[-1,-0.131)','[-1,0.141)','[-0.119,0.0906)','[-1,0.000217)','[-0.064,0.0654)','b'
'[0,1]','[0.957,1]','[0.111,1]','[0.962,1]','[0.173,1]','[0.895,1]','[0.196,1]','[-1,0.346)','[0.224,1]','[-1,0.361)','[0.257,1]','[-1,0.123)','[0.159,1]','[-1,0)','[0.111,1]','[-1,0.161)','[-1,-0.116)','[-1,0.122)','[-1,-0.118)','[-1,0)','[-1,-0.0886)','[-1,0.0275)','[-1,-0.186)','[0.815,1]','[-1,-0.196)','[0.921,1]','[-1,-0.176)','[0.78,1]','[-1,-0.131)','[0.733,1]','[-1,-0.119)','[0.674,1]','[0.0654,1]','g'
'[0,1]','[-1,0.659)','[-1,-0.0135)','[-1,0.633)','[0.173,1]','[0.895,1]','[0.196,1]','[-1,0.346)','[-1,0)','[-1,0.361)','[-1,-0.00297)','[0.865,1]','[0.159,1]','[0.827,1]','[-1,-0.0315)','[-1,0.161)','[0.0788,1]','[0.808,1]','[0.0436,1]','[0.787,1]','[-1,-0.0886)','[-1,0.0275)','[-1,-0.186)','[-1,0.218)','[0.0416,1]','[0.921,1]','[-1,-0.176)','[-1,0.157)','[-1,-0.131)','[-1,0.141)','[0.0906,1]','[0.674,1]','[0.0654,1]','b'
'[0,1]','[0.659,0.957)','[-0.0135,0.111)','[0.962,1]','[-1,0)','[0.895,1]','[-1,-0.00617)','[0.88,1]','[-1,0)','[0.907,1]','[-0.00297,0.257)','[0.865,1]','[-1,-0.00819)','[0.827,1]','[-1,-0.0315)','[0.838,1]','[-1,-0.116)','[0.808,1]','[-1,-0.118)','[0.787,1]','[-1,-0.0886)','[0.798,1]','[-1,-0.186)','[0.815,1]','[-1,-0.196)','[0.463,0.921)','[-1,-0.176)','[0.78,1]','[-1,-0.131)','[0.733,1]','[-1,-0.119)','[0.674,1]','[-1,-0.064)','g'
'[0,1]','[-1,0.659)','[-1,-0.0135)','[-1,0.633)','[0.173,1]','[-1,0.436)','[0.196,1]','[0.346,0.88)','[0.224,1]','[-1,0.361)','[-1,-0.00297)','[-1,0.123)','[-1,-0.00819)','[-1,0)','[0.111,1]','[-1,0.161)','[0.0788,1]','[-1,0.122)','[-1,-0.118)','[-1,0)','[-1,-0.0886)','[-1,0.0275)','[-1,-0.186)','[-1,0.218)','[0.0416,1]','[0.921,1]','[-1,-0.176)','[-1,0.157)','[-1,-0.131)','[-1,0.141)','[-1,-0.119)','[-1,0.000217)','[0.0654,1]','b'
'[0,1]','[0.957,1]','[-1,-0.0135)','[0.962,1]','[-1,0)','[0.895,1]','[-1,-0.00617)','[0.88,1]','[-1,0)','[0.907,1]','[0.257,1]','[0.865,1]','[-1,-0.00819)','[0.827,1]','[-1,-0.0315)','[0.838,1]','[0.0788,1]','[0.808,1]','[-1,-0.118)','[0.787,1]','[-1,-0.0886)','[0.798,1]','[-1,-0.186)','[0.815,1]','[-1,-0.196)','[0.463,0.921)','[-1,-0.176)','[0.78,1]','[-1,-0.131)','[0.733,1]','[-1,-0.119)','[0.674,1]','[-1,-0.064)','g'
'[0,1]','[-1,0.659)','[0.111,1]','[0.962,1]','[-1,0)','[-1,0.436)','[0.196,1]','[-1,0.346)','[0,0.224)','[0.907,1]','[0.257,1]','[-1,0.123)','[-1,-0.00819)','[0.827,1]','[0.111,1]','[-1,0.161)','[-1,-0.116)','[0.808,1]','[-1,-0.118)','[-1,0)','[-1,-0.0886)','[0.798,1]','[0.0709,1]','[0.815,1]','[-1,-0.196)','[0.921,1]','[0.0748,1]','[0.78,1]','[0.0719,1]','[-1,0.141)','[-0.119,0.0906)','[-1,0.000217)','[-1,-0.064)','b'
'[0,1]','[0.957,1]','[-0.0135,0.111)','[0.633,0.962)','[0,0.173)','[0.895,1]','[-0.00617,0.196)','[0.88,1]','[-1,0)','[0.907,1]','[-0.00297,0.257)','[0.865,1]','[-0.00819,0.159)','[0.827,1]','[0.111,1]','[0.838,1]','[0.0788,1]','[0.808,1]','[0.0436,1]','[0.787,1]','[0.0759,1]','[0.798,1]','[0.0709,1]','[0.815,1]','[0.0416,1]','[0.463,0.921)','[0.0748,1]','[0.78,1]','[0.0719,1]','[0.733,1]','[0.0906,1]','[0.674,1]','[0.0654,1]','g'
'[0,1]','[-1,0.659)','[-1,-0.0135)','[-1,0.633)','[0.173,1]','[-1,0.436)','[-0.00617,0.196)','[-1,0.346)','[0,0.224)','[-1,0.361)','[0.257,1]','[-1,0.123)','[-0.00819,0.159)','[-1,0)','[-1,-0.0315)','[0.161,0.838)','[0.0788,1]','[0.122,0.808)','[0.0436,1]','[0,0.787)','[-0.0886,0.0759)','[-1,0.0275)','[-1,-0.186)','[-1,0.218)','[0.0416,1]','[0.921,1]','[0.0748,1]','[-1,0.157)','[0.0719,1]','[-1,0.141)','[-0.119,0.0906)','[-1,0.000217)','[-0.064,0.0654)','b'
'[0,1]','[0.957,1]','[-0.0135,0.111)','[0.962,1]','[0,0.173)','[0.895,1]','[0.196,1]','[0.88,1]','[0,0.224)','[0.907,1]','[-0.00297,0.257)','[0.865,1]','[0.159,1]','[0.827,1]','[0.111,1]','[0.838,1]','[0.0788,1]','[0.808,1]','[0.0436,1]','[0.787,1]','[0.0759,1]','[0.0275,0.798)','[0.0709,1]','[0.218,0.815)','[0.0416,1]','[0.463,0.921)','[0.0748,1]','[0.157,0.78)','[0.0719,1]','[0.141,0.733)','[0.0906,1]','[0.000217,0.674)','[0.0654,1]','g'
'[0,1]','[-1,0.659)','[-1,-0.0135)','[-1,0.633)','[0,0.173)','[-1,0.436)','[-0.00617,0.196)','[-1,0.346)','[0,0.224)','[-1,0.361)','[-0.00297,0.257)','[-1,0.123)','[-0.00819,0.159)','[0,0.827)','[-1,-0.0315)','[0.161,0.838)','[0.0788,1]','[0.808,1]','[-1,-0.118)','[0,0.787)','[-0.0886,0.0759)','[0.0275,0.798)','[-1,-0.186)','[-1,0.218)','[-0.196,0.0416)','[0.921,1]','[-1,-0.176)','[-1,0.157)','[0.0719,1]','[-1,0.141)','[-0.119,0.0906)','[0.674,1]','[-1,-0.064)','b'
'[0,1]','[0.957,1]','[0.111,1]','[0.962,1]','[0,0.173)','[0.895,1]','[0.196,1]','[0.88,1]','[0.224,1]','[0.907,1]','[0.257,1]','[0.123,0.865)','[0.159,1]','[0,0.827)','[0.111,1]','[0.161,0.838)','[0.0788,1]','[0.122,0.808)','[0.0436,1]','[0,0.787)','[0.0759,1]','[0.0275,0.798)','[0.0709,1]','[0.218,0.815)','[0.0416,1]','[-1,0.463)','[0.0748,1]','[0.157,0.78)','[0.0719,1]','[0.141,0.733)','[0.0906,1]','[0.000217,0.674)','[0.0654,1]','g'
'[0,1]','[-1,0.659)','[0.111,1]','[-1,0.633)','[-1,0)','[0.895,1]','[0.196,1]','[0.346,0.88)','[0.224,1]','[-1,0.361)','[0.257,1]','[-1,0.123)','[0.159,1]','[0,0.827)','[-0.0315,0.111)','[-1,0.161)','[-1,-0.116)','[0.122,0.808)','[-0.118,0.0436)','[0,0.787)','[-1,-0.0886)','[-1,0.0275)','[0.0709,1]','[0.218,0.815)','[-1,-0.196)','[0.921,1]','[-0.176,0.0748)','[0.78,1]','[0.0719,1]','[0.141,0.733)','[-1,-0.119)','[0.674,1]','[0.0654,1]','b'
'[0,1]','[0.957,1]','[-1,-0.0135)','[0.962,1]','[0.173,1]','[0.436,0.895)','[-0.00617,0.196)','[0.88,1]','[-1,0)','[0.907,1]','[0.257,1]','[0.123,0.865)','[-1,-0.00819)','[0.827,1]','[-0.0315,0.111)','[0.838,1]','[-1,-0.116)','[0.122,0.808)','[-1,-0.118)','[0.787,1]','[-1,-0.0886)','[0.798,1]','[-0.186,0.0709)','[0.815,1]','[0.0416,1]','[0.921,1]','[-0.176,0.0748)','[0.78,1]','[-1,-0.131)','[0.141,0.733)','[0.0906,1]','[0.000217,0.674)','[-0.064,0.0654)','g'
'[0,1]','[0.659,0.957)','[-0.0135,0.111)','[0.962,1]','[0.173,1]','[0.895,1]','[-1,-0.00617)','[0.346,0.88)','[0,0.224)','[0.907,1]','[0.257,1]','[0.865,1]','[0.159,1]','[0.827,1]','[0.111,1]','[0.838,1]','[-0.116,0.0788)','[0.122,0.808)','[-1,-0.118)','[0.787,1]','[0.0759,1]','[0.798,1]','[0.0709,1]','[0.815,1]','[-1,-0.196)','[0.921,1]','[0.0748,1]','[0.157,0.78)','[-0.131,0.0719)','[0.733,1]','[0.0906,1]','[0.674,1]','[0.0654,1]','b'
'[0,1]','[0.957,1]','[0.111,1]','[0.962,1]','[0,0.173)','[0.895,1]','[-0.00617,0.196)','[0.88,1]','[0,0.224)','[0.907,1]','[0.257,1]','[0.865,1]','[-0.00819,0.159)','[0.827,1]','[-0.0315,0.111)','[0.838,1]','[-1,-0.116)','[0.808,1]','[-0.118,0.0436)','[0.787,1]','[-0.0886,0.0759)','[0.798,1]','[0.0709,1]','[0.815,1]','[-1,-0.196)','[0.921,1]','[-0.176,0.0748)','[0.78,1]','[0.0719,1]','[0.733,1]','[-1,-0.119)','[0.674,1]','[-1,-0.064)','g'
'[0,1]','[0.957,1]','[-1,-0.0135)','[0.962,1]','[-1,0)','[0.895,1]','[-1,-0.00617)','[0.88,1]','[-1,0)','[0.907,1]','[0.257,1]','[0.865,1]','[0.159,1]','[0.827,1]','[-1,-0.0315)','[0.838,1]','[0.0788,1]','[0.808,1]','[0.0436,1]','[0.787,1]','[0.0759,1]','[0.798,1]','[-1,-0.186)','[0.815,1]','[-1,-0.196)','[0.921,1]','[-1,-0.176)','[0.78,1]','[0.0719,1]','[-1,0.141)','[-0.119,0.0906)','[0.674,1]','[-1,-0.064)','b'
'[0,1]','[0.957,1]','[0.111,1]','[0.633,0.962)','[0.173,1]','[-1,0.436)','[0.196,1]','[-1,0.346)','[0.224,1]','[-1,0.361)','[0.257,1]','[-1,0.123)','[0.159,1]','[-1,0)','[0.111,1]','[-1,0.161)','[-1,-0.116)','[-1,0.122)','[-1,-0.118)','[-1,0)','[-1,-0.0886)','[-1,0.0275)','[-1,-0.186)','[0.218,0.815)','[-1,-0.196)','[-1,0.463)','[-1,-0.176)','[0.157,0.78)','[-1,-0.131)','[0.733,1]','[-1,-0.119)','[0.674,1]','[-0.064,0.0654)','g'
'[0,1]','[0.957,1]','[0.111,1]','[0.962,1]','[-1,0)','[0.895,1]','[-1,-0.00617)','[0.88,1]','[0.224,1]','[0.907,1]','[0.257,1]','[0.865,1]','[0.159,1]','[0.827,1]','[-1,-0.0315)','[0.838,1]','[0.0788,1]','[0.808,1]','[0.0436,1]','[0.787,1]','[0.0759,1]','[0.798,1]','[0.0709,1]','[0.815,1]','[0.0416,1]','[0.921,1]','[0.0748,1]','[-1,0.157)','[-0.131,0.0719)','[0.733,1]','[-1,-0.119)','[0.674,1]','[-1,-0.064)','b'
'[0,1]','[0.957,1]','[-0.0135,0.111)','[0.962,1]','[0.173,1]','[0.895,1]','[0.196,1]','[0.88,1]','[0.224,1]','[0.907,1]','[0.257,1]','[0.865,1]','[0.159,1]','[0.827,1]','[0.111,1]','[0.838,1]','[0.0788,1]','[0.808,1]','[0.0436,1]','[0.787,1]','[0.0759,1]','[0.798,1]','[0.0709,1]','[0.815,1]','[0.0416,1]','[0.463,0.921)','[0.0748,1]','[0.78,1]','[0.0719,1]','[0.733,1]','[0.0906,1]','[0.674,1]','[0.0654,1]','g'
'[0,1]','[0.957,1]','[-1,-0.0135)','[0.962,1]','[0.173,1]','[-1,0.436)','[-1,-0.00617)','[0.88,1]','[-1,0)','[-1,0.361)','[-0.00297,0.257)','[-1,0.123)','[-0.00819,0.159)','[-1,0)','[0.111,1]','[0.838,1]','[-1,-0.116)','[0.808,1]','[-1,-0.118)','[-1,0)','[0.0759,1]','[0.798,1]','[-1,-0.186)','[0.815,1]','[-1,-0.196)','[0.921,1]','[-1,-0.176)','[-1,0.157)','[-1,-0.131)','[-1,0.141)','[-0.119,0.0906)','[0.674,1]','[-1,-0.064)','b'
'[0,1]','[0.957,1]','[-0.0135,0.111)','[0.962,1]','[0.173,1]','[0.895,1]','[0.196,1]','[0.88,1]','[0.224,1]','[0.907,1]','[0.257,1]','[0.123,0.865)','[0.159,1]','[0.827,1]','[0.111,1]','[0.161,0.838)','[0.0788,1]','[0.122,0.808)','[0.0436,1]','[0,0.787)','[0.0759,1]','[0.0275,0.798)','[0.0709,1]','[0.218,0.815)','[0.0416,1]','[-1,0.463)','[0.0748,1]','[0.157,0.78)','[0.0719,1]','[-1,0.141)','[0.0906,1]','[0.000217,0.674)','[0.0654,1]','g'
'[0,1]','[0.659,0.957)','[0.111,1]','[-1,0.633)','[0,0.173)','[-1,0.436)','[0.196,1]','[-1,0.346)','[0,0.224)','[-1,0.361)','[-0.00297,0.257)','[-1,0.123)','[-0.00819,0.159)','[0,0.827)','[-1,-0.0315)','[0.161,0.838)','[0.0788,1]','[0.122,0.808)','[0.0436,1]','[0,0.787)','[-0.0886,0.0759)','[-1,0.0275)','[-0.186,0.0709)','[0.218,0.815)','[0.0416,1]','[0.463,0.921)','[0.0748,1]','[-1,0.157)','[-0.131,0.0719)','[-1,0.141)','[-0.119,0.0906)','[-1,0.000217)','[-0.064,0.0654)','b'
'[0,1]','[0.957,1]','[-0.0135,0.111)','[0.962,1]','[0,0.173)','[0.895,1]','[-0.00617,0.196)','[0.88,1]','[0.224,1]','[0.907,1]','[0.257,1]','[0.865,1]','[0.159,1]','[0.827,1]','[0.111,1]','[0.838,1]','[0.0788,1]','[0.122,0.808)','[0.0436,1]','[0.787,1]','[0.0759,1]','[0.0275,0.798)','[0.0709,1]','[0.218,0.815)','[0.0416,1]','[0.463,0.921)','[0.0748,1]','[0.157,0.78)','[0.0719,1]','[0.141,0.733)','[0.0906,1]','[0.000217,0.674)','[0.0654,1]','g'
'[0,1]','[0.957,1]','[0.111,1]','[-1,0.633)','[0,0.173)','[0.895,1]','[-1,-0.00617)','[0.88,1]','[-1,0)','[0.907,1]','[0.257,1]','[0.865,1]','[0.159,1]','[0.827,1]','[-1,-0.0315)','[0.838,1]','[0.0788,1]','[0.808,1]','[0.0436,1]','[0.787,1]','[-1,-0.0886)','[-1,0.0275)','[-1,-0.186)','[0.815,1]','[-1,-0.196)','[0.921,1]','[-1,-0.176)','[0.78,1]','[0.0719,1]','[-1,0.141)','[-0.119,0.0906)','[0.674,1]','[-1,-0.064)','b'
'[0,1]','[0.957,1]','[-0.0135,0.111)','[0.962,1]','[0,0.173)','[0.895,1]','[-0.00617,0.196)','[0.88,1]','[0.224,1]','[0.907,1]','[0.257,1]','[0.865,1]','[0.159,1]','[0.827,1]','[0.111,1]','[0.161,0.838)','[0.0788,1]','[0.122,0.808)','[0.0436,1]','[0.787,1]','[0.0759,1]','[0.0275,0.798)','[0.0709,1]','[0.218,0.815)','[0.0416,1]','[0.463,0.921)','[0.0748,1]','[0.157,0.78)','[0.0719,1]','[0.141,0.733)','[0.0906,1]','[0.000217,0.674)','[0.0654,1]','g'
'[0,1]','[0.957,1]','[0.111,1]','[0.962,1]','[-1,0)','[0.895,1]','[0.196,1]','[0.88,1]','[0.224,1]','[0.907,1]','[0.257,1]','[0.865,1]','[0.159,1]','[0.827,1]','[0.111,1]','[0.838,1]','[-1,-0.116)','[-1,0.122)','[0.0436,1]','[-1,0)','[0.0759,1]','[-1,0.0275)','[0.0709,1]','[0.815,1]','[-1,-0.196)','[0.921,1]','[0.0748,1]','[-1,0.157)','[0.0719,1]','[-1,0.141)','[-1,-0.119)','[-1,0.000217)','[0.0654,1]','b'
